cycle_length,g1,g2
81,32,37
112,35,65
101,29,60
101,29,60
101,29,60
68,22,34
101,29,60
92,25,55
68,16,40
68,16,40
68,16,40
82,22,48
82,22,48
68,16,40
68,16,40
68,12,44
68,22,34
68,16,40
68,16,40
68,16,40
68,16,40
68,16,40
68,16,40
68,16,40
68,16,40
72,30,30
68,16,40
68,27,29
68,16,40
89,22,55
68,16,40
68,16,40
68,16,40
68,16,40
72,21,39
72,28,32
72,17,43
75,18,45
72,17,43
72,17,43
72,17,43
72,17,43
72,17,43
72,17,43
72,16,44
72,16,44
72,22,38
72,16,44
114,27,75
72,16,44
72,19,41
72,16,44
72,24,36
72,19,41
72,16,44
72,24,36
72,24,36
72,29,31
72,16,44
72,30,30
72,30,30
72,29,31
72,16,44
72,22,38
92,21,59
102,24,66
102,24,66
72,16,44
102,35,55
102,35,55
95,22,61
102,40,50
102,24,66
102,29,61
102,24,66
102,24,66
102,24,66
102,38,52
102,44,46
102,24,66
102,24,66
102,24,66
102,33,57
99,23,64
111,26,73
102,34,56
102,24,66
102,24,66
102,43,47
102,24,66
102,35,55
102,43,47
102,33,57
102,24,66
102,35,55
102,36,54
102,24,66
102,24,66
102,42,48
102,42,48
95,22,61
102,24,66
102,24,66
102,36,54
102,24,66
102,37,53
102,24,66
102,36,54
102,43,47
102,41,49
102,24,66
102,36,54
102,24,66
102,24,66
102,35,55
102,29,61
102,38,52
102,24,66
102,43,47
102,38,52
102,24,66
102,24,66
84,19,53
102,24,66
102,24,66
102,24,66
102,24,66
102,24,66
102,24,66
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,50,51
113,27,74
80,18,50
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,50,51
113,34,67
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,50,51
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,34,67
113,41,60
113,50,51
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,40,61
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,27,74
113,50,51
113,27,74
113,27,74
113,34,67
113,27,74
113,27,74
