C,g1,g2
90,41,37
90,41,37
88,44,32.411877672412544
90,45,32.968734226046806
90,46,31.817581125270465
90,46,31.817581125270465
90,46,31.982219677222673
90,46,31.982219677222673
90,46,31.982219677222673
90,46,31.982219677222673
90,46,31.982219677222673
90,46,31.989779516329236
90,46,31.997482035794164
90,46,31.997482035794164
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.997645858058448
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,31.998512010145205
90,46,32.00006481281602
90,46,32.00006481281602
90,46,32.00006481281602
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.999934161651126
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,31.99995235357369
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,32
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
90,46,31.999999999999844
